id,COUNTRY,YEAR,WEEK,Week_Sus_Cases,Incidence_sus_cases,Cum_sus_cases,Week_conf_cases,Incidence_conf_cases,Cum_conf_cases,Week_import_cases,Cum_import_cases,Week_deaths,Cum_deaths,Population,Source,
15,Guadeloupe,2013,42,0,0,0,0,0,0,0,0,0,0,466000,ARS,
17,Martinique,2013,42,0,0,0,0,0,0,0,0,0,0,404000,ARS,
19,Saint Barthelemy,2013,42,0,0,0,0,0,0,0,0,0,0,9000,ARS,
20,Saint-Martin,2013,42,0,0,0,2,5.5556,2,0,0,0,0,36000,ARS,
39,French Guiana,2013,42,0,0,0,0,0,0,0,0,0,0,249000,ARS,
65,Guadeloupe,2013,43,0,0,0,0,0,0,0,0,0,0,466000,ARS,
67,Martinique,2013,43,0,0,0,0,0,0,0,0,0,0,404000,ARS,
69,Saint Barthelemy,2013,43,0,0,0,0,0,0,0,0,0,0,9000,ARS,
70,Saint-Martin,2013,43,2,5.5556,2,0,0,2,0,0,0,0,36000,ARS,
89,French Guiana,2013,43,0,0,0,0,0,0,0,0,0,0,249000,ARS,
115,Guadeloupe,2013,44,0,0,0,0,0,0,0,0,0,0,466000,ARS,
117,Martinique,2013,44,0,0,0,0,0,0,0,0,0,0,404000,ARS,
119,Saint Barthelemy,2013,44,0,0,0,0,0,0,0,0,0,0,9000,ARS,
120,Saint-Martin,2013,44,1,2.7778,3,0,0,2,0,0,0,0,36000,ARS,
139,French Guiana,2013,44,0,0,0,0,0,0,0,0,0,0,249000,ARS,
165,Guadeloupe,2013,45,0,0,0,0,0,0,0,0,0,0,466000,ARS,
167,Martinique,2013,45,0,0,0,0,0,0,0,0,0,0,404000,ARS,
169,Saint Barthelemy,2013,45,0,0,0,0,0,0,0,0,0,0,9000,ARS,
170,Saint-Martin,2013,45,0,0,3,0,0,2,0,0,0,0,36000,ARS,
189,French Guiana,2013,45,0,0,0,0,0,0,0,0,0,0,249000,ARS,
215,Guadeloupe,2013,46,0,0,0,0,0,0,0,0,0,0,466000,ARS,
217,Martinique,2013,46,0,0,0,0,0,0,0,0,0,0,404000,ARS,
219,Saint Barthelemy,2013,46,0,0,0,0,0,0,0,0,0,0,9000,ARS,
220,Saint-Martin,2013,46,1,2.7778,4,4,11.1111,6,0,0,0,0,36000,ARS,
239,French Guiana,2013,46,0,0,0,0,0,0,0,0,0,0,249000,ARS,
265,Guadeloupe,2013,47,0,0,0,0,0,0,0,0,0,0,466000,ARS,
267,Martinique,2013,47,0,0,0,0,0,0,0,0,0,0,404000,ARS,
269,Saint Barthelemy,2013,47,0,0,0,0,0,0,0,0,0,0,9000,ARS,
270,Saint-Martin,2013,47,0,0,4,0,0,6,0,0,0,0,36000,ARS,
289,French Guiana,2013,47,0,0,0,0,0,0,0,0,0,0,249000,ARS,
315,Guadeloupe,2013,48,0,0,0,0,0,0,0,0,0,0,466000,ARS,
317,Martinique,2013,48,0,0,0,0,0,0,0,0,0,0,404000,ARS,
319,Saint Barthelemy,2013,48,0,0,0,0,0,0,0,0,0,0,9000,ARS,
320,Saint-Martin,2013,48,10,27.7778,14,2,5.5556,8,0,0,0,0,36000,ARS,
339,French Guiana,2013,48,0,0,0,0,0,0,0,0,0,0,249000,ARS,
365,Guadeloupe,2013,49,0,0,0,0,0,0,0,0,0,0,466000,ARS,
367,Martinique,2013,49,0,0,0,0,0,0,0,0,0,0,404000,ARS,
369,Saint Barthelemy,2013,49,0,0,0,0,0,0,0,0,0,0,9000,ARS,
370,Saint-Martin,2013,49,40,111.1111,54,4,11.1111,12,0,0,0,0,36000,ARS,
389,French Guiana,2013,49,0,0,0,0,0,0,0,0,0,0,249000,ARS,
415,Guadeloupe,2013,50,0,0,0,0,0,0,0,0,0,0,466000,ARS,
417,Martinique,2013,50,0,0,0,2,495,2,0,0,0,0,404000,ARS,
419,Saint Barthelemy,2013,50,0,0,0,0,0,0,0,0,0,0,9000,ARS,
