location,pop_size,density,year,reference,lat,lon,area-sqkm
Curacao,152760,344,2014,Wikipedia,12.116667,-68.933333,444
Panama,3608431,54.2,2014,Wikipedia,8.983333,-79.516667,75517
Bahamas,321834,23.27,2014,Wikipedia,25.060000,-77345,13878
Aruba,103400,575.21,2014,Wikipedia,12.519000,-70037,178.91
Suriname,573311,2.9,2014,Wikipedia,5.852036,-55.203828,163821
Anguilla,13600,132,2006,Wikipedia,18.214813,-63.057441,91
Venezuela,33221865,30.2,2014,Wikipedia,10.469640,-66.803719,916445
Saba,1991,150,2013,Wikipedia,17.626111,-63.249167,13
Cuba,11210064,102,2013,Wikipedia,23.159167,-82.271056,109884
Dominican Republic,9445281,197,2010,Wikipedia,18.466667,-69.95,48442
Saint Kitts and Nevis,54961,164,2015,Wikipedia,17.302606,-62.717692,261
Puerto Rico,3667084,418,2012,Wikipedia,18.466334,-66.105722,9104
Virgin Islands,106405,310.3,2010,Wikipedia,18.341900,-64.930701,346.36
Martinique,386486,340,2013,Wikipedia,14.641528,-61.024174,1128
Saint Vincent and the Grenadines,103000,307,2013,Wikipedia,13.157778,-61.2250,389
Saint Barthelemy,9035,361,2011,Wikipedia,17.896435,-62.852201,25
Saint Lucia,173765,298,2011,Wikipedia,14.010109,-60.987469,617
Dominica,72660,105,2014,Wikipedia,15.301389,-61.388333,750
Montserrat,4900,44,2012,Wikipedia,16.792778,-62.210556,102
Cayman Islands,56732,212,2008,Wikipedia,19.286932,-81.367439,264
Trinidad and Tobago,1223916,254.4,2014,Wikipedia,10.666667,-61.516667,5131
British Virgin Islands,28054,260,2010,Wikipedia,18.431389,-64.623056,153
Guyana,735554,3.5020,2014,Wikipedia,6.800000,-58.166667,214.97
Grenada,109590,318.58,2012,Wikipedia,12.056097,-61.748800,348.5
Guadeloupe,403750,250,2014,Wikipedia,16.265000,-61.551000,1628
Haiti,9996731,350.27,2014,Wikipedia,18.533333,-72.333333,27750
Jamaica,2889187,252,2012,Wikipedia,17.983333,-76.800000,10991
Bonaire,17408,59,2013,Wikipedia,12.150700,-68.276700,294
Antigua and Barbuda,91295,186,2014,Wikipedia,17.116667,-61.85,440
Colombia,48014026,40.74,2015,Wikipedia,4.598056,-74.075833,1141748
French Guiana,250109,3.0,2013,Wikipedia,4.922700,-52.3269,83534
Sint Maarten,37429,1100,2010,Wikipedia,18.023700,-63.0458,34
Turks and Caicos Islands,31458,51,2012,Wikipedia,21.459000,-71.1390,616.3
Barbados,277821,660,2010,Wikipedia,13.113222,-59.598809,439
Sint Eustatius,4020,190,2013,Wikipedia,17.489031,-62.973555,21.0
Saint Martin,36286,682,2011,Wikipedia,18.073100,-63.082200,53.2
