Indx,Frequency,dB(Spec),Indx,Frequency,dB(Spec)
1,0,"6,6148682244",1,0,"-0,0713511704"
2,"0,0004886607","6,6190613767",2,"0,0005337066","-0,0658048375"
3,"0,0024433034","6,7196352051",3,"0,0025469138","0,0553250466"
4,"0,0039344562","6,8861854173",4,"0,0039054125","0,2277072331"
5,"0,005425609","7,1294427761",5,"0,0052639113","0,4749829826"
6,"0,0072141189","7,518735117",6,"0,0067465106","0,8328733649"
7,"0,0090026287","8,0044063899",7,"0,0082291099","1,2855276193"
8,"0,0113333126","8,7411006178",8,"0,0097163333","1,836797025"
9,"0,0136821649","9,4887360928",9,"0,0112035567","2,4838967009"
10,"0,0160759936","10,013490716",10,"0,0133467844","3,5605214365"
11,"0,0180950429","10,0313988013",11,"0,0151417647","4,5192175426"
12,"0,0202937041","9,4745597668",12,"0,0171091643","5,4246249735"
13,"0,0226482315","8,3391230467",13,"0,0189441921","5,8119175632"
14,"0,0239908248","7,5554680357",14,"0,0206046158","5,5482120199"
15,"0,0253334181","6,7375656329",15,"0,0222608469","4,7221551218"
16,"0,0267325","5,8869857855",16,"0,024233023","3,3067549203"
17,"0,0281315819","5,0631137099",17,"0,0262699709","1,7113471607"
18,"0,0301694797","3,9386757672",18,"0,0275372647","0,7491824524"
19,"0,0322073774","2,9194178388",19,"0,0288045586","-0,1609857305"
20,"0,0346702407","1,8320793894",20,"0,0307597803","-1,4454716764"
21,"0,037133104","0,8958996629",21,"0,032715002","-2,5826051158"
22,"0,0389435879","0,2974590657",22,"0,0346972949","-3,5943785823"
23,"0,0407540717","-0,2302779341",23,"0,0366795877","-4,4770401313"
24,"0,0425645555","-0,6918255382",24,"0,0390705112","-5,3876888926"
25,"0,04466506","-1,1498042029",25,"0,0414614347","-6,1476619857"
26,"0,0467655645","-1,5300417613",26,"0,0434713464","-6,6810882719"
27,"0,0488660689","-1,8377054588",27,"0,045481258","-7,1257684586"
28,"0,0488660689","-1,8377054588",28,"0,0474911696","-7,4872541873"
29,"0,0496653435","-1,9366993559",29,"0,0494509999","-7,7637201227"
30,"0,0511187983","-2,092311921",30,"0,0514108302","-7,9681361342"
31,"0,0525722531","-2,2176236095",31,"0,0533706606","-8,1026090254"
32,"0,0546676657","-2,3477149971",32,"0,0533706606","-8,1026090254"
33,"0,0567630782","-2,4217773193",33,"0,0549005951","-8,1598551957"
34,"0,0585853569","-2,443954192",34,"0,0565897248","-8,1748963039"
35,"0,0604076355","-2,4300416201",35,"0,0582788546","-8,1394710903"
36,"0,0622299141","-2,3834581209",36,"0,060434819","-8,0204765905"
37,"0,0644240461","-2,2896266899",37,"0,0625907834","-7,8174346998"
38,"0,0666181781","-2,1623099211",38,"0,0649345259","-7,4987547821"
39,"0,0688123101","-2,011424665",39,"0,0672782684","-7,0742893564"
40,"0,0711254573","-1,8400684278",40,"0,0695621938","-6,5546409848"
41,"0,0734386046","-1,6724494728",41,"0,0718461192","-5,9264774453"
42,"0,0757517518","-1,5273754537",42,"0,0739990287","-5,2334586001"
43,"0,0779301913","-1,4291188098",43,"0,0761519381","-4,4461078538"
44,"0,0801086309","-1,3841143605",44,"0,0776464266","-3,8510718034"
45,"0,0822870704","-1,4051862085",45,"0,079140915","-3,2276963873"
46,"0,0843407505","-1,4928574063",46,"0,0804256468","-2,6827889886"
47,"0,0863944306","-1,6483325573",47,"0,0817103786","-2,148166531"
