Indx,Frequency,dB(Spec),Indx,Frequency,dB(Spec)
1,0,6.614868224394,1,0,-0.07135117039
2,0.000488660689,6.619061376715,2,0.000533706606,-0.06580483753
3,0.002443303447,6.71963520506,3,0.002546913754,0.055325046614
4,0.003934456226,6.886185417311,4,0.003905412503,0.227707233064
5,0.005425609005,7.129442776082,5,0.005263911252,0.474982982615
6,0.007214118864,7.518735116973,6,0.006746510588,0.832873364949
7,0.009002628723,8.004406389911,7,0.008229109923,1.285527619272
8,0.011333312638,8.741100617845,8,0.009716333314,1.836797024964
9,0.013682164889,9.488736092825,9,0.011203556704,2.483896700879
10,0.016075993637,10.013490716,10,0.013346784404,3.560521436493
11,0.018095042931,10.03139880131,11,0.015141764665,4.519217542617
12,0.020293704076,9.474559766836,12,0.017109164264,5.424624973527
13,0.022648231535,8.339123046688,13,0.01894419214,5.811917563179
14,0.023990824795,7.555468035706,14,0.020604615798,5.548212019931
15,0.025333418055,6.737565632933,15,0.022260846918,4.722155121758
16,0.026732499996,5.886985785536,16,0.024233023032,3.30675492031
17,0.028131581937,5.063113709875,17,0.026269970882,1.711347160722
18,0.030169479685,3.938675767204,18,0.027537264739,0.749182452351
19,0.032207377434,2.919417838796,19,0.028804558597,-0.16098573046
20,0.034670240735,1.832079389384,20,0.030759780315,-1.44547167644
21,0.037133104036,0.895899662891,21,0.032715002034,-2.58260511581
22,0.038943587868,0.297459065682,22,0.034697294871,-3.59437858229
23,0.040754071701,-0.2302779341,23,0.036679587708,-4.47704013132
24,0.042564555533,-0.69182553823,24,0.039070511222,-5.38768889258
25,0.044665060004,-1.14980420286,25,0.041461434735,-6.14766198572
26,0.046765564475,-1.53004176134,26,0.04347134635,-6.68108827193
27,0.048866068946,-1.83770545875,27,0.045481257964,-7.12576845862
28,0.048866068946,-1.83770545875,28,0.047491169579,-7.48725418731
29,0.049665343459,-1.93669935594,29,0.049450999903,-7.7637201227
30,0.051118798267,-2.09231192099,30,0.051410830227,-7.96813613421
31,0.052572253075,-2.21762360952,31,0.053370660551,-8.10260902537
32,0.054667665661,-2.34771499706,32,0.053370660551,-8.10260902537
33,0.056763078247,-2.42177731925,33,0.054900595077,-8.15985519567
34,0.05858535687,-2.443954192,34,0.056589724832,-8.17489630389
35,0.060407635493,-2.43004162006,35,0.058278854587,-8.13947109028
36,0.062229914117,-2.38345812086,36,0.060434819016,-8.02047659052
37,0.064424046108,-2.28962668993,37,0.062590783444,-7.81743469977
38,0.0666181781,-2.16230992108,38,0.064934525925,-7.49875478205
39,0.068812310091,-2.01142466497,39,0.067278268406,-7.07428935643
40,0.07112545733,-1.84006842783,40,0.069562193821,-6.55464098477
41,0.073438604568,-1.6724494728,41,0.071846119237,-5.92647744525
42,0.075751751807,-1.52737545367,42,0.073999028685,-5.23345860005
43,0.077930191342,-1.42911880976,43,0.076151938134,-4.44610785382
44,0.080108630878,-1.38411436053,44,0.077646426576,-3.85107180336
45,0.082287070413,-1.40518620852,45,0.079140915018,-3.22769638727
46,0.084340750523,-1.49285740627,46,0.080425646825,-2.68278898855
47,0.086394430632,-1.64833255725,47,0.081710378633,-2.14816653103
48,0.088448110741,-1.86874034313,48,0.083103023425,-1.60966522945
49,0.090449274816,-2.13951400976,49,0.084495668217,-1.15453573899
50,0.092450438891,-2.4568865467,50,0.085828436885,-0.84060762508
51,0.094451602966,-2.81128717288,51,0.087161205553,-0.68377325694
52,0.096360260467,-3.17517083365,52,0.088519605291,-0.70854372329
53,0.098268917967,-3.55679793111,53,0.089878005029,-0.91815042856
54,0.100177575468,-3.94986963845,54,0.092349840254,-1.678827166
55,0.102086232969,-4.3492494936,55,0.093903262824,-2.31362031625
56,0.104572662338,-4.87242631847,56,0.095456685394,-2.9998113711
57,0.107059091707,-5.39289414896,57,0.097001450595,-3.69204528699
58,0.109545521076,-5.90599866885,58,0.098546215795,-4.36772951405
59,0.111671834999,-6.33640886408,59,0.100566384591,-5.20185377325
60,0.113798148923,-6.75737482128,60,0.102586553387,-5.96579749828
61,0.115924462846,-7.16752083947,61,0.104695144356,-6.68355760967
62,0.11805077677,-7.56558125695,62,0.106803735326,-7.32177661062
63,0.120177090693,-7.95032450518,63,0.108912326295,-7.88540352656
64,0.122331198065,-8.32525283417,64,0.111005675921,-8.37730075285
65,0.124485305438,-8.68395024624,65,0.113099025547,-8.80822839385
66,0.12663941281,-9.02511966677,66,0.115192375173,-9.1845709324
67,0.128793520183,-9.34748693349,67,0.117118685165,-9.48799022773
68,0.128793520183,-9.34748693349,68,0.119044995156,-9.75509478084
69,0.130649552582,-9.60923068098,69,0.120971305147,-9.99037785295
70,0.132505584981,-9.85537551248,70,0.122897615139,-10.1981729611
71,0.134678330313,-10.1228068394,71,0.12534691056,-10.4292380957
72,0.136851075644,-10.3670008341,72,0.127796205981,-10.6307404324
73,0.139023820976,-10.5871816415,73,0.130245501402,-10.8102484205
74,0.141088648408,-10.773640063,74,0.132694796823,-10.9745816881
75,0.143153475841,-10.9375684058,75,0.135174910591,-11.1315176338
76,0.145218303273,-11.0788490363,76,0.137655024359,-11.2837780738
77,0.147283130705,-11.1975838875,77,0.140135138127,-11.4348369731
78,0.149786896612,-11.3118300267,78,0.142615251895,-11.5866815793
79,0.152290662519,-11.3945972331,79,0.145095365663,-11.7398422301
80,0.154794428426,-11.4476887335,80,0.147454436797,-11.8860548902
81,0.157298194332,-11.4736399082,81,0.149813507931,-12.031212083
82,0.159537831647,-11.4765701404,82,0.152172579065,-12.1731497233
83,0.161777468961,-11.4634211628,83,0.154531650199,-12.309358537
84,0.164017106275,-11.437730694,84,0.156890721334,-12.4372375912
85,0.166256743589,-11.4035757177,85,0.159249792468,-12.5543156239
86,0.168496380904,-11.3654991915,86,0.161713945694,-12.6627364197
87,0.170792442491,-11.3274930566,87,0.164178098921,-12.7550683008
88,0.173088504078,-11.2958592616,88,0.166642252148,-12.8300024529
